2021-05-12 16:20:26,527 DEBUG [145537] [] ------------------------------/eccadmin_dev/CourseContractList
2021-05-12 16:20:26,527 DEBUG [145537] [] indexAction start
2021-05-12 16:20:26,527 DEBUG [145537] [] admin_no is 1
2021-05-12 16:20:26,722 DEBUG [145537] [] indexAction end
2021-05-12 16:20:26,722 DEBUG [145537] [] CourseContractListController end
2021-05-12 16:20:26,722 DEBUG [145537] [] finally
2021-05-12 16:20:28,418 DEBUG [145537] [] Request URI : /eccadmin_dev/CourseContractRegist/index
2021-05-12 16:20:28,418 DEBUG [145537] [] CourseContractRegistController start
2021-05-12 16:20:28,418 DEBUG [145537] [] controllers/CourseContractRegistController.php: is exist
2021-05-12 16:20:28,440 DEBUG [145537] [] CourseContractRegistForm: is exist
2021-05-12 16:20:28,442 DEBUG [145537] [] CourseContractRegistForm: form value set 
2021-05-12 16:20:28,443 DEBUG [145537] [] ------------------------------/eccadmin_dev/CourseContractRegist/index
2021-05-12 16:20:28,443 DEBUG [145537] [] ------------------------------session_check_true
2021-05-12 16:20:28,443 DEBUG [145537] [] indexAction start
2021-05-12 16:20:28,443 DEBUG [145537] [] admin_no is 1
2021-05-12 16:20:28,515 DEBUG [145537] [] indexAction end
2021-05-12 16:20:28,515 DEBUG [145537] [] CourseContractRegistController end
2021-05-12 16:20:28,516 DEBUG [145537] [] finally
2021-05-12 16:20:30,227 DEBUG [140791] [] Request URI : /eccadmin_dev/CourseStudentRegist/index
2021-05-12 16:20:30,227 DEBUG [140791] [] CourseStudentRegistController start
2021-05-12 16:20:30,227 DEBUG [140791] [] controllers/CourseStudentRegistController.php: is exist
2021-05-12 16:20:30,260 DEBUG [140791] [] CourseStudentRegistForm: is exist
2021-05-12 16:20:30,266 DEBUG [140791] [] CourseStudentRegistForm: form value set 
2021-05-12 16:20:30,267 DEBUG [140791] [] ------------------------------/eccadmin_dev/CourseStudentRegist/index
2021-05-12 16:20:30,267 DEBUG [140791] [] ------------------------------session_check_true
2021-05-12 16:20:30,267 DEBUG [140791] [] indexAction start
2021-05-12 16:20:30,267 DEBUG [140791] [] admin_no is 1
2021-05-12 16:20:30,341 DEBUG [140791] [] indexAction end
2021-05-12 16:20:30,341 DEBUG [140791] [] CourseStudentRegistController end
2021-05-12 16:20:30,341 DEBUG [140791] [] finally
2021-05-12 16:20:36,599 DEBUG [145838] [] Request URI : /eccadmin_dev/CourseStudentRegist/search
2021-05-12 16:20:36,600 DEBUG [145838] [] CourseStudentRegistController start
2021-05-12 16:20:36,600 DEBUG [145838] [] controllers/CourseStudentRegistController.php: is exist
2021-05-12 16:20:36,601 DEBUG [145838] [] CourseStudentRegistForm: is exist
2021-05-12 16:20:36,601 DEBUG [145838] [] CourseStudentRegistForm: form value set 
2021-05-12 16:20:36,601 DEBUG [145838] [] ------------------------------/eccadmin_dev/CourseStudentRegist/search
2021-05-12 16:20:36,602 DEBUG [145838] [] ------------------------------session_check_true
2021-05-12 16:20:36,602 DEBUG [145838] [] searchAction start
2021-05-12 16:20:36,602 DEBUG [145838] [] admin_no is 1
2021-05-12 16:20:36,744 DEBUG [145838] [] searchAction end
2021-05-12 16:20:36,744 DEBUG [145838] [] CourseStudentRegistController end
2021-05-12 16:20:36,744 DEBUG [145838] [] finally
2021-05-12 16:20:51,477 DEBUG [145647] [] Request URI : /eccadmin_dev/CourseStudentRegist/Save
2021-05-12 16:20:51,478 DEBUG [145647] [] CourseStudentRegistController start
2021-05-12 16:20:51,478 DEBUG [145647] [] controllers/CourseStudentRegistController.php: is exist
2021-05-12 16:20:51,479 DEBUG [145647] [] CourseStudentRegistForm: is exist
2021-05-12 16:20:51,479 DEBUG [145647] [] CourseStudentRegistForm: form value set 
2021-05-12 16:20:51,479 DEBUG [145647] [] ------------------------------/eccadmin_dev/CourseStudentRegist/Save
2021-05-12 16:20:51,479 DEBUG [145647] [] ------------------------------session_check_true
2021-05-12 16:20:51,480 DEBUG [145647] [] SaveAction start
2021-05-12 16:20:51,480 DEBUG [145647] [] admin_no is 1
2021-05-12 16:20:51,480 DEBUG [145647] [] INSERT INTO  T_COURSE_STUDENT (org_no,offer_no,course_id,student_no,start_period,end_period,del_flg,creater_id,create_dt,updater_id,update_dt ) VALUES ( :org_no,:offer_no,:course_id,:student_no,:start_period,:end_period,:del_flg,:creater_id,:create_dt,:updater_id,:update_dt );
2021-05-12 16:20:51,482 DEBUG [145647] [] INSERT INTO  T_COURSE_DETAIL_STUDENT (org_no,offer_no,student_no,course_id,course_detail_no,start_period,end_period,del_flg,creater_id,create_dt,updater_id,update_dt ) VALUES ( :org_no,:offer_no,:student_no,:course_id,:course_detail_no,:start_period,:end_period,:del_flg,:creater_id,:create_dt,:updater_id,:update_dt );
